"name","other_names","air_dates","air_days","country","duration_mins","episodes","genres","native_name","original_network","mdl_popularity","mdl_rank","mdl_rating","mdl_num_ratings","mdl_tags","mdl_num_watchers"
"My Mr. Mermaid","Lang Hua Yi Duo Duo","Jul 30, 2017 - Aug 24, 2017","Saturday,Sunday,Friday,Thursday","China","45","36","School,Comedy,Friendship,Youth,Romance,Sports","浪花一朵朵","Hunan TV","642","803","8.3","2625","Childhood Acquaintance,Ambition,Naive Female Lead,Smart Female Lead,Conspiracy,Charming Male Lead,Reporter,Rivalry,Adapted From A Web Novel,Calm Female Lead","6145"
"Argon","Areugon,Arogon","Sep  4, 2017 - Sep 26, 2017","Monday,Tuesday","South Korea","70","8","Drama,Investigation,Political","아르곤","tvN","1772","808","8.4","773","Struggle,News Media,Journalism,Boss/Employee Relationship,Corruption,Hardworking Lead,Reporter,Strict Character,News Anchor","2292"
"Orange Days","","Apr 11, 2004 - Jun 20, 2004","Sunday","Japan","45","11","Life,Romance,Youth,Friendship","オレンジデイズ","TBS","794","812","8.3","2179","Music,Deafness,College Life,Deaf","5151"
"You're All Surrounded","You Are All Surrounded,Neoheedeuleun Powidwaetda,Sans Issue (FR),You're Surrounded","May  7, 2014 - Jul 17, 2014","Wednesday,Thursday","South Korea","60","20","Comedy,Friendship,Action,Drama,Investigation,Romance,Detective,Melodrama,Mystery","너희들은 포위됐다","SBS","88","813","8.3","12828","Childhood Acquaintance,Death Of A Parent,Mad Dog,Naive Female Lead,Airhead Female Lead,Team Work,Leadership,Poor Female Lead,Clumsy Female Lead,Hardworking Female Lead","24825"
"Fights Break Sphere: Season 1","斗破蒼穹,Battle Through the Heavens,鬥破蒼穹","Sep  3, 2018 - Oct 25, 2018","Wednesday,Thursday","China","45","45","Martial Arts,Fantasy,Adventure,Action,Romance,Wuxia","斗破苍穹","Hunan TV","1144","815","8.3","1059","Badass Female Lead,Secret Crush,Badass Male Lead,Supernatural Power,Secret,Childhood Friends,Master-Slave Relationship,Strong Female Characters,Fantasy World,Competent Protagonist","3663"
"Mama","마마 - 세상 무서울 게 없는,Mama - Nothing to Fear,Fearless Mama,Mama - Fearless of Anything in the World","Aug  2, 2014 - Oct 19, 2014","Saturday,Sunday","South Korea","65","24","Drama,Romance,Melodrama,Family","마마","MBC","1803","807","8.4","561","Strong Girl,Older Woman/Younger Man,Mother-Son Relationship,Sismance,Age Gap,Cancer,Birth Secret,Bittersweet Ending,Strong Female Lead","2248"
"Life is Beautiful","Insaengeun Areumdawo,La vida es bella","Mar 20, 2010 - Nov  7, 2010","Saturday,Sunday","South Korea","70","63","Family,Romance","인생은 아름다워","SBS","1476","816","8.4","704","Gay Character,Huge Family,Gay Relationship","2802"
"Gunshi Kanbei","Strategist Kanbe,Gunshi Kanbee","Jan  5, 2014 - Dec 21, 2014","Sunday","Japan","45","50","","軍師官兵衛","NHK","3985","818","0","0","V6,Taiga,Sengoku Period,Idol Actor,Nikkan Daily Sports Drama GP","752"
"Radiation House","Houshasenka no Shindan Report","Apr  8, 2019 - Jun 17, 2019","Monday","Japan","60","11","Drama,Medical,Mystery","ラジエーションハウス〜放射線科の診断レポート〜","Fuji TV","3064","821","8.4","398","Unrequited Love,Secret,Childhood Friends,Cold Woman,Hospital,Adapted From A Manga,Doctor","1116"
"Princess Pearl II","Princess Returning Pearl,,My Fair Princess 2,Princess of Pearl 2,还珠格格Ⅱ,Princess Pearl 2,My Fair Princess","Apr 21, 1999 - Jan 24, 2000","","China","40","48","","還珠格格II","Hunan TV","2670","824","0","0","Sismance,Qianlong Emperor,Qing Dynasty","1361"
"Itazura na Kiss: Love In Tokyo 2","ItaKiss2,Itazura na Kiss ~ Love in TOKYO 2,Itazura na Kiss - Love In Tokyo 2,Mischievous Kiss: Love in Tokyo 2,イタキス2,イタKiss2,ItaKisu2","Dec  1, 2014 - Mar 23, 2015","Monday","Japan","45","16","Drama,Romance,Comedy","イタズラなKiss～Love in TOKYO 2","Fuji TV","213","825","8.3","8468","Supportive Mother-in-law,Obsession,Cheerful Girl,Jealousy,Smart Male Lead,Nurse,Secondary Couple,Doctor,College Life,Marriage","14821"
"Love Playlist: Season 3","Love Playlist 3","Sep 20, 2018 - Oct 25, 2018","Saturday,Thursday","South Korea","13","12","School,Friendship,Life,Drama,Romance","연플리 파일럿3","Naver TV Cast,vLive","2664","827","8.4","656","Older Woman/Younger Man,Multiple Mains,College Life,Web Series,Miniseries,Multiple Couples","1364"
"Suits","Shootseu","Apr 25, 2018 - Jun 14, 2018","Wednesday,Thursday","South Korea","60","16","Business,Action,Life,Law,Drama","슈츠","KBS2","365","835","8.3","2825","Lawyer,Minimal Romance,Office Romance,Bromance,Office Worker,Western Series Remake,Fake Lawyer,Workplace,Hidden Personality,Mnemonist","10213"
"Life","Laipeu","Jul 23, 2018 - Sep 11, 2018","Monday,Tuesday","South Korea","70","16","Suspense,Medical,Psychological,Drama","라이프","Netflix,jTBC","586","839","8.3","1860","Disabled Character,Bromance,Competent Boss,Sibling,Hospital,Slight Romance,Smart Male Lead,Doctor,Power Struggle,Competent Protagonist","6658"
"Legal High","Rigaru Hai","Apr 17, 2012 - Jun 26, 2012","Tuesday","Japan","54","11","Law,Comedy","リーガル・ハイ","Fuji TV","955","836","8.3","1745","Law,Smart Male Lead,Eccentric Male Lead,Attorney,KAT-TUN","4298"
"38 Task Force","38 Police Squad,38 Revenue Collection Unit,38sagidongdae,Police Unit 38,Squad 38,Tax Team 38","Jun 17, 2016 - Aug  6, 2016","Saturday,Friday","South Korea","60","16","Drama,Investigation,Comedy","38사기동대","OCN","324","837","8.3","4417","Con Artist,Smart Protagonist,Teamwork,Bromance,Team Work,Tough Female Lead,Corruption,Scheme,Smart Male Lead,Money-obsession","11289"
"Rookie Agent Rouge","","Sep 27, 2016 - Oct 22, 2016","Saturday,Friday,Monday,Sunday,Thursday,Wednesday,Tuesday","China","45","45","Historical,Romance,War,Military","胭脂","JSTV","1592","840","8.3","752","Secret Organization,World War 2,Secret,Smart Female Lead,Egg,Secret Mission,Fight,Drawing,Chinese Republican Era,Betrayal","2581"
"2 Moons","Two Moons,Duean Kiao Duean: The Series,2Moons The Series","May  7, 2017 - Jul 23, 2017","Sunday","Thailand","45","12","School,Romance,Comedy,Friendship","เดือนเกี้ยวเดือน","GMM One","347","844","8.3","6826","Secret Crush,First Love,Adapted From A Novel,Gay Character,High School To College,LGBTQ+,College Life,Multiple Couples,Clark Kent Syndrome,Gay Relationship","10673"
"Once Upon a Time in Lingjian Mountain","Once Upon A Time There Was A Spirit Blade Mountain,Cong Qian You Zuo Ling Jian Shan,Spirit Sword Mountain","Nov 12, 2019 - Dec  5, 2019","Friday,Wednesday,Thursday,Tuesday","China","45","37","Fantasy,Comedy,Action,Romance,Wuxia","从前有座灵剑山","iQiyi","2099","845","8.4","529","Sassy Female Lead,Bromance,Older Woman/Younger Man,Adapted From A Novel,Student/teacher,Slapstick,Smart Male Lead,Eccentric Male Lead,Xianxia,Eccentric Female Lead","1889"
"100-manen no Onna-tachi",",1,000 yen no Onnatachi,Million Yen Women,000,100 man en no Onna tachi","Apr 14, 2017 - Jun 30, 2017","Friday","Japan","25","12","Suspense,Mature,Drama,Romance,Mystery","100万円の女たち","TV Tokyo,Netflix","1203","842","8.3","1851","Sexual Content,Writer,Harem,Celebrity,Housemate,Adapted From A Manga,Nudity,Murder,Strong Female Lead","3466"
"Boss & Me","Shan Shan Comes to Eat,Come on Eat,,Boss and Me,杉杉來吃,杉杉的美味愛情,杉杉来","Jul  8, 2014 - Jul 20, 2014","Saturday,Friday,Monday,Sunday,Thursday,Wednesday,Tuesday","China","45","33","Business,Comedy,Friendship,Food,Romance","杉杉來了","BTV","193","849","8.3","7275","Calm Male Lead,Naive Female Lead,Office Romance,Adapted From A Novel,Woman Loves Eating,Innocent Female Lead,Rich Man/Poor Woman,Boss/Employee Relationship,Cheerful Girl,Rich Male Lead","15686"
"Sassy Go Go",",Cheeky Go Go,Cheer Up!,Insolently Go Go,Cheer Up,Chieoeob,Starting Now,Jigeumbooteo,Daringly Go Go,From Now On","Oct  5, 2015 - Nov 10, 2015","Monday,Tuesday","South Korea","60","12","Youth,Romance,Drama","발칙하게 고고","KBS2","62","851","8.3","16601","Child Abuse,Self-harm,Rich Man/Poor Woman,High School,Second Lead Syndrome,Step-siblings Love,Smart Male Lead,Enemies To Lovers,Cheerleading,Love Triangle","29318"
"Partners for Justice","Investigation Partners,Gumbeobnamnyeo,Investigation Couple","May 14, 2018 - Jul 17, 2018","Monday,Tuesday","South Korea","35","32","Law,Investigation,Medical,Mystery","검법남녀","MBC","934","853","8.3","1662","Serial Killer,Forensic,Rich Female Lead","4390"
"Doctor X","Doctor X ~Gekai Daimon Michiko~","Oct 18, 2012 - Dec 13, 2012","Thursday","Japan","54","8","Drama,Medical","ドクターX　～外科医・大門未知子～","TV Asahi","1416","855","8.3","1478","Smart Female Lead,Hospital,Doctor,Surgeon,Strong Female Lead","2945"
"Princess Agents","11处特工皇妃,Chu Qiao Zhuan,特工皇妃,The Legend of Chu Qiao,Te Gong Huang Fei Chu Qiao Zhuan,Te Gong Huang Fei,特工皇妃楚喬傳,楚乔传","Jun  5, 2017 - Aug  1, 2017","Monday,Wednesday,Thursday,Tuesday","China","45","67","Tragedy,Action,Drama,Romance,War,Historical,Wuxia","特工皇妃楚乔传","Hunan TV","468","854","8.3","3413","Sassy Female Lead,Adapted From A Novel,Female Warrior,Female Lead Action Scenes,Reverse-Harem,Master-Servant Relationship,Revenge,Power Struggle,Amnesia,Strong Female Lead","8160"
"The Innocent Man",",Nice Guy,Good Man,The Good Man Never Seen Before,Innocent Man,Chakan Namja,Sesang Eodiedo Eobneun Chakan Namja","Sep 12, 2012 - Nov 15, 2012","Wednesday,Thursday","South Korea","62","20","Drama,Romance,Melodrama,Family","세상 어디에도 없는 착한남자","KBS2","55","858","8.3","16298","Good Man/bad Woman,Seaside,Heiress,Character Development,Revenge,Rain,Makjang,Deception,Amnesia,Strong Female Lead","30361"
"Hit the Top","The Best Hit,Choegoui Hanbang,Best Punch,The Big Blow,Greatest One Shot","Jun  2, 2017 - Jul 22, 2017","Saturday,Friday","South Korea","30","32","Comedy,Friendship,Life,Drama,Romance,Youth,Family","최고의 한방","KBS2","164","857","8.3","7271","Funny Character,Sassy Female Lead,Entertainment Industry,Flashback To Past,Fluffy,Singer-Songwriter,Funny Male Lead,Time Travel,Funny Female Lead,Hardworking Female Lead","17340"
"Rookie Historian Goo Hae Ryung","Sinipsagwan Guhaeryeong,Shinibsagwan Goohaeryung,Rookie Officer Goo Hae Ryung,Sinibsagwan Guhaeryeong,Rookie Historian Koo Hae-ryung,Rookie Historian Goo Hae-Ryung","Jul 17, 2019 - Sep 26, 2019","Wednesday,Thursday","South Korea","35","40","Comedy,Political,Drama,Romance,Historical","신입사관 구해령","MBC,Netflix","409","864","8.3","3615","Opposites Attract,Nice Male Lead,Older Woman/Younger Man,Secret,Joseon Dynasty,Strong Female Characters,Sismance,Mature Protagonist,Hardworking Female Lead,Strong Female Lead","9118"
"She Was Pretty","Puzzled Lovers,Geunyeoneun Yebbeossda,She Was Beautiful,Geunyeoneun Yeppeodda","Sep 16, 2015 - Nov 11, 2015","Wednesday,Thursday","South Korea","60","16","Drama,Romance,Comedy","그녀는 예뻤다","MBC","24","861","8.3","25344","Hidden Identity,Makeover,Office Romance,Secret,Misunderstanding,Sismance,Second Lead Syndrome,Workplace,Love Triangle,Hardworking Female Lead","42758"
"Anata no Ban Desu","It's Your Turn,Your Turn to Kill","Apr 14, 2019 - Jun 16, 2019","Sunday","Japan","45","10","Investigation,Romance,Crime,Mystery","あなたの番です","NTV","2974","859","8.4","386","Death Game,Neighbours,Older Woman/Younger Man,Age Gap,Married Couple,Death,Murder","1163"
"MR. BRAIN","","May 23, 2009 - Jul 11, 2009","","Japan","50","8","Comedy,Psychological,Investigation,Detective,Mystery,Crime","ミスター・ブレイン","TBS","552","863","8.3","4084","Funny Character,Police,Team Work,Forensics,Eccentric Male Lead,Police Procedural,KAT-TUN,Smart Male Lead,SMAP,Neuroscientist","7134"
"My Huckleberry Friends","Hello,Old Days,the Past Days,Old Time,Ni Hao,Jiu Shi Guang","Nov  8, 2017 - Jan  5, 2018","Wednesday,Friday,Thursday","China","45","30","School,Friendship,Life,Romance,Youth","你好，旧时光","iQiyi","2036","865","8.4","413","Male Chases Female First,Death Of A Parent,Nice Male Lead,Slow Burn Romance,Adapted From A Novel,High School,Tragic Past,Multiple Couples,Calm Female Lead","1954"
"Tokusatsu Gagaga","Tokusatsu-Loving Woman","Jan 18, 2019 - Mar  1, 2019","","Japan","44","7","Comedy,Life","トクサツガガガ","NHK","5256","866","8.6","172","Otaku,Adapted From A Manga,Geek,Slice Of Life","475"
"Gou - Himetachi no Sengoku",",The Warring States Of The Princesses,Gou ~ Himetachi no Sengoku","Jan  9, 2011 - Nov 27, 2011","Sunday","Japan","45","46","","江〜姫たちの戦国〜","NHK","3570","871","0","0","Adapted From A Manga,Taiga,Sengoku Period","884"
"Secrets of Three Kingdoms","San Guo Ji Mi,潜龙在渊,The Secret Dragon in the Abyss,Qian Long Zai Yuan,San Guo Ji Mi Zhi Qian Long Zai Yuan,三国机密之潜龙在渊,Secret Of The Three Kingdoms","Mar 27, 2018 - May 24, 2018","Wednesday,Thursday,Tuesday","China","45","54","Historical,Political,Drama","三国机密","","1715","872","8.4","558","Three Kingdoms,Royalty,Adapted From A Novel,Twin Exchange,Sibling,Stolen Identity,Smart Male Lead,Emperor Xiang,Identical Twins,Strong Female Lead","2378"
"Because of You","Because of Meeting You,Yin Wei Yu Jian Ni","Mar  2, 2017 - Apr  4, 2017","","China","45","56","Business,Friendship,Drama,Romance,Melodrama,Family","因为遇见你","Hunan TV","656","874","8.3","2277","Obsessive Second Lead,Male Chases Female First,Naive Female Lead,Family Pressure,Sibling Rivalry,Evil Stepmother,Car Accident,Selfish Mother,Happy Ending,Adoption","6037"
"Game Sanaeha","Game of Love","Jun 25, 2018 - Aug  7, 2018","Monday,Tuesday","Thailand","110","14","Drama,Romance","เกมเสน่หา","Channel 3","1853","875","8.3","930","Male Chases Female First,Hate To Love,Marriage,Nice Male Lead,Contract Relationship,Misunderstanding,Spoiled Female Lead,Jealousy,Rich Female Lead,Multiple Couples","2170"
"The Eternal Love","Shuang Shi Chong Fei,,爆笑宠妃: 爷我等你休妻","Jul 10, 2017 - Aug 15, 2017","Monday,Tuesday","China","36","24","Martial Arts,Fantasy,Comedy,Romance,Historical,Wuxia","双世宠妃","Tencent Video","462","876","8.3","4322","Reincarnated Lovers,Secret,Adapted From A Novel,Risks,Body Swap,Martial Arts Master,Crossworlds Traveler,Enemies To Lovers,Time Travel,Passionate Kiss","8233"
"Kindaichi Shonen no Jikenbo N","Kindaichi Case Files N (Neo),The Files of Young Kindaichi Neo,Kindaichi Shounen no Jikenbo N (Neo)","Jul 19, 2014 - Sep 20, 2014","Saturday","Japan","54","9","Suspense,School,Comedy,Detective,Mystery","金田一少年の事件簿N(neo)","NTV","1886","878","8.3","891","Nice Male Lead,NEWS(Band),Filmed Abroad,Idol Actor,Hey! Say! Jump","2136"
"Chocolate","Chokolis,Chokollit,Chokolrit","Nov 29, 2019 - Jan 18, 2020","Saturday,Friday","South Korea","65","16","Romance,Melodrama,Medical,Food","초콜릿","Netflix,jTBC","716","880","8.3","2363","First Love,Nice Male Lead,Slow Burn Romance,Death,Cooking,Healing,Tragic Past,Hospice Care,Trauma,Compassionate Female Lead","5686"
"Good Life - Arigatou, Papa. Sayonara",",Papa. Sayonara~,Good Life ~Thank You Dad. Goodbye~,Good Life ~Arigatou","Apr 18, 2011 - Jun 28, 2011","Tuesday","Japan","45","11","Family","グッドライフ〜ありがとう、パパ。さよなら〜","Fuji TV","2992","879","0","0","Terminal Illness,Adapted From A Novel,Father-Son Relationship,Tearjerker","1153"
"Crisis: Kouan Kidou Sousatai Tokusou-han","Crisis: Public Security Mobile Investigation Unit Special Investigation Team,Crisis: Special Security Squad,Crisis,Crisis Koan Kido Sosatai Tokusohan","Apr 11, 2017 - Jun 13, 2017","Tuesday","Japan","45","10","Drama,Investigation,Action,Thriller","CRISIS 公安機動捜査隊特捜班","Fuji TV","2282","881","0","0","Terrorist,Crime,Mystery","1673"
"S.C.I","Special Crime Investigation,S.C.I Mystery,SCI Mi An Ji,S.C.I. Special Crime Investigation,S.C.I : Journal of Mysterious Cases","Jun 26, 2018 - Jul 19, 2018","Saturday,Friday,Monday,Sunday,Thursday,Wednesday,Tuesday","China","45","24","Psychological,Crime,Mystery","S.C.I.谜案集","Youku","2708","885","8.4","373","Magician,Love–Hate Relationship,Bromance,Adapted From A Novel,Childhood Friends,Cohabitation,Smart Male Lead,Censored Romance","1336"
"A-Teen 2","A-Teen Season 2,A-Teen: Season 2","Apr 21, 2019 - Jun 27, 2019","Sunday,Thursday","South Korea","15","20","School,Comedy,Friendship,Drama,Youth,Romance","에이틴 2","Naver TV Cast,vLive","1531","890","8.3","1261","Student,High School,Multiple Mains,Idol Actor,Web Series,Miniseries,Multiple Couples","2699"
"School 2017","Escuela 2017,School 7,학교 7","Jul 17, 2017 - Sep  5, 2017","Monday,Tuesday","South Korea","60","16","School,Comedy,Youth,Romance,Mystery","학교 2017","KBS2","119","893","8.3","10551","School Bullying,Bromance,Friendship,Competition,School Problems,High School,Youth Romance,Idol Actor,Love Triangle,Rich Male Lead","20590"
"Find Yourself","Xia Yi Zhan Shi Xing Fu,Zi Shen Shao Nv De Chu Lian,资深少女的初恋","Jan 26, 2020 - Feb 18, 2020","Saturday,Friday,Monday,Sunday,Thursday,Wednesday,Tuesday","China","45","42","Business,Friendship,Life,Drama,Romance,Melodrama","下一站是幸福","Hunan TV,Netflix,Mango TV","1334","889","8.3","784","Steamy Kiss,Office Romance,Older Woman/Younger Man,Boss/Employee Relationship,Age Gap,Jealousy,Brother And Sister,Secondary Couple,Multiple Couples,Slice Of Life","3131"
"GTO",",GTO: Great Teacher Onizuka,グレート ティーチャー オニヅカ,Great Teacher Onizuka","Jul  7, 1998 - Sep 22, 1998","Tuesday","Japan","45","12","Drama,School,Comedy","ジーティーオー","Fuji TV","708","898","8.3","3201","Delinquent,Strong Male Lead,Teacher,High School,Slight Romance,Adapted From A Manga,Smart Male Lead,Persistent Teacher,Nudity,Nikkan Daily Sports Drama GP","5720"
"Warrior Baek Dong Soo","Honorable Baek Dong Soo,Warrior Baek Dong Su,Yanoe Baek Dong Su,Musa Baek Dong Soo","Jul  4, 2011 - Oct 10, 2011","Monday,Tuesday","South Korea","65","29","Martial Arts,Friendship,Action,Romance,Historical","무사 백동수","SBS","384","899","8.3","3439","Bromance,Adapted From A Manhwa,Joseon Dynasty,Skilled Killer,Martial Arts School,Sword-fight","9728"
"Thank You","There We Were,We Were There","Mar 21, 2007 - May 10, 2007","Wednesday","South Korea","61","16","Medical,Comedy,Drama,Romance,Melodrama,Family","고맙습니다","MBC","947","900","8.3","1944","Disease,AIDS,Single Parent","4322"
"Bring It On, Ghost",",Ssawooja Gwishina,Ghost,Let's Fight,Hey Ghost","Jul 11, 2016 - Aug 30, 2016","Monday,Tuesday","South Korea","60","16","Comedy,Horror,Action,Drama,Romance,Supernatural","싸우자귀신아","tvN","71","902","8.3","14039","Badass Female Lead,Nice Male Lead,Bromance,Ghost-seeing Male Lead,Adapted From A Webtoon,Ghost,Serial Killer,College Life,Strong Male Lead,Interspecies Romance","27483"
"Unstoppable High Kick","High Kick!,Keochimeopsi Haikik","Nov  6, 2006 - Jul  7, 2007","Friday,Monday,Thursday,Wednesday,Tuesday","South Korea","31","167","Family,Sitcom,Comedy","거침없이 하이킥","MBC","1412","903","0","0","Bromance,Older Woman/Younger Man","2953"
"Tientsin Mystic","HeShen,River God,He Shen","Jul 19, 2017 - Oct  3, 2017","Wednesday,Thursday","China","45","24","Horror,Drama,Investigation,Detective,Mystery,Supernatural","河神","iQiyi","2863","904","8.4","358","Psychic,Adapted From A Novel,Shamanism,Chinese Republican Era,Strong Female Lead","1224"
"Just One Bite Season 2","hanipman 2,Just One Bite 2","Mar  6, 2019 - Apr  6, 2019","Saturday,Wednesday","South Korea","15","10","Drama,Romance,Comedy,Friendship","한입만 시즌2","Naver TV Cast,vLive","3058","906","8.3","557","Older Woman/Younger Man,Food,Sismance,Multiple Mains,Web Series,Female Centered Plot,Miniseries,Multiple Couples","1118"
"Can You Hear My Heart","Do You Hear My Heart,내 마음이 들리니,Can You Hear My Heart?,Nae Maeumi Deulrini,Listen to My Heart,Nae Maeumi Deullini","Apr  2, 2011 - Jul 10, 2011","Saturday,Sunday","South Korea","65","30","Business,Comedy,Friendship,Drama,Romance,Melodrama,Family","내 마음이 들리니?","MBC","252","908","8.3","6073","Deafness,Hidden Identity,Tearjerker,Bromance,Disability,Revenge,Tragic Past,Trauma,Love Triangle","13530"
"Ohisama","Sun,Sunshine","Apr  4, 2011 - Sep 24, 2011","Saturday,Friday,Monday,Thursday,Wednesday,Tuesday","Japan","15","156","School,Family,Life,Drama,Romance,War,Historical","おひさま","NHK","3354","909","0","0","Unrequited Love,World War 2,Period Drama,Teacher,Asadora,Pacific War,Morning Drama,Married Lead","973"
"MARS","Zhan Shen,,God of War","Apr  7, 2004 - Aug 18, 2004","","Taiwan","45","21","Suspense,School,Action,Psychological,Drama,Romance,Sports","戰神","GTV","431","911","8.3","4349","Suicide,Tragic Love Story,University,Sexual Assault,Tragic Past,Adapted From A Manga,Hidden Past,Art,Mental Health,Trauma","8792"
"Memory Lost 2","Mei Ren Wei Xian2","Nov 14, 2016 - Nov 22, 2016","Monday,Tuesday","China","45","12","Suspense,Friendship,Action,Investigation,Romance,Detective,Mystery,Crime","美人为馅2","iQiyi","1903","912","8.3","946","Criminal Psychologist,Smart Female Lead,Adapted From A Novel,Independent Female Lead,Forensics,Forensic Pathologist,Smart Male Lead,Amnesia,Rape,Web Series","2109"
"Black","Beullaek","Oct 14, 2017 - Dec 10, 2017","Saturday,Sunday","South Korea","80","18","Suspense,Action,Investigation,Romance,Detective,Melodrama,Mystery,Thriller,Supernatural","블랙","OCN","125","914","8.2","8892","Superhuman Strength,Grim Reaper,Flashback To Past,Bromance,Cold Man,Double Identity,Tragic Past,Serial Killer,Female Chases Male First,Strong Male Lead","19692"
"Kamen Rider Build","","Sep  3, 2017 - Aug 26, 2018","Sunday","Japan","24","49","Sci-Fi,Action,Tokusatsu","仮面ライダービルド","TV Asahi","3351","915","8.4","498","Father-Son Relationship,Alien,Bromance,Superhero,Genius,Human Experimentation","975"
"ST Aka to Shiro no Sousa File",",ST Aka to Shiro no Sosa Fairu","Jul 16, 2014 - Sep 17, 2014","Wednesday","Japan","60","10","Investigation,Detective,Mystery","ST 赤と白の捜査ファイル","NTV","2441","916","0","0","Konno Bin,Adapted From A Novel,Phobia","1533"
"Girls' Generation 1979","Lingerie Girls' Generation,Lanjeri Sonyeoshidae","Sep 11, 2017 - Oct  3, 2017","Monday,Tuesday","South Korea","60","8","School,Friendship,Drama,Youth,Romance","란제리 소녀시대","KBS2","841","918","8.3","2057","1970s,Student,Bright Personality,Sismance,High School,Coming Of Age,Multiple Mains,Adolescence,Love Pentagon,Abusive Parents","4849"
"Lucky's First Love","The World Owes Me a First Love,Shi Jie Qian Wo Yi Ge Chu Lian","Sep 25, 2019","Wednesday,Friday,Thursday","China","50","24","Youth,Romance,Comedy","世界欠我一个初恋","iQiyi","764","921","8.3","2256","First Love,Male Chases Female First,Love–Hate Relationship,Character Development,Boss/Employee Relationship,Fortune Cat,Cheating,Love Triangle,Multiple Couples,Rich Male Lead","5362"
"The Hippocratic Crush","On Call 36 Hours,On Call 36小时","Feb 13, 2012 - Mar 16, 2012","Friday,Monday,Thursday,Wednesday,Tuesday","Hong Kong","45","25","Romance,Medical","On Call 36小時","TVB Jade","3161","922","8.3","520","","1064"
"The Good Wife","The Good Wife Korea,Gut Waipeu","Jul  8, 2016 - Aug 27, 2016","Saturday,Friday","South Korea","60","16","Political,Life,Law,Drama,Romance,Family","굿 와이프","tvN","949","923","0","0","Lawyer,First Love,Working Mom,Smart Female Lead,Law Firm,Western Series Remake,Prosecutor,Manipulative Character,Infidelity,Strong Female Lead","4314"
"Witch's Court","Don't Believe Her,Geunyeoreul Mitjimaseyo,Manyeoui Bubjung,manyeoeui beobjeong,그녀를 믿지마세요,Witch at Court","Oct  9, 2017 - Nov 28, 2017","Monday,Tuesday","South Korea","60","16","Law,Investigation,Drama,Mature","마녀의 법정","KBS2","439","926","8.2","3804","Calm Male Lead,Personal Growth,Selfish Character,Independent Female Lead,Sexual Assault,Age Gap,Tragic Past,Prosecutor,Hardworking Female Lead,Strong Female Lead","8554"
"Black Dog","Black Dog: Being A Teacher,Beullaegdog,Beulraekdok","Dec 16, 2019 - Feb  4, 2020","Monday,Tuesday","South Korea","75","16","Drama,School,Life","블랙독","tvN","2154","935","8.3","506","Personal Growth,Smart Female Lead,Team Work,School Problems,Teacher,Workplace,Mentor,Hardworking Female Lead,Strong Female Lead,Slice Of Life","1821"
"Soratobu Kouhoushitsu","Sora tobu Kouhoushitsu,Public Affairs Office in the Sky","Apr 14, 2013 - Jun 23, 2013","Sunday","Japan","45","11","Life,Romance,Drama,Military","空飛ぶ広報室","TBS","1590","925","0","0","Personal Growth,Dream,Adapted From A Novel,Healing,Journalist,Workplace,Arikawa Hiro,Slow Romance","2584"
"Dakara Watashi wa Oshimashita","","Jul 27, 2019 - Sep 14, 2019","Saturday","Japan","29","8","Drama","だから私は推しました","NHK","5952","927","8.6","142","Entertainment Industry,Stalker,Obsession,Idol Fangirl,Otaku","387"
"Gochisousan","Gochisosan,Thank You For The Meal","Sep 30, 2013 - Mar 29, 2014","Saturday,Friday,Monday,Thursday,Wednesday,Tuesday","Japan","15","150","Historical,Family,Food,Life","ごちそうさん","NHK","4119","928","8.6","163","Taisho Period,Showa Era,Morning Drama,Asadora","716"
"LIFE","Raifu","Jun 30, 2007 - Sep 15, 2007","Saturday","Japan","36","11","School,Friendship,Mature,Life,Psychological,Drama","ライフ","Fuji TV","583","930","8.2","3567","School Bullying,Psychopath,Sismance,High School,Sexual Assault,Adapted From A Manga","6734"
"HiGH&LOW SEASON 2",",HiGH AND LOW - THE STORY OF S.W.O.R.D.,HiGH AND LOW SEASON 2","Apr 23, 2016 - Jun 25, 2016","Saturday","Japan","22","10","Youth,Action,Friendship","HiGH&LOW〜THE STORY OF S.W.O.R.D.〜","NTV","2859","931","8.3","592","Delinquent,Bromance,Gang,Yakuza,Street Fight","1225"
"Ojakgyo Brothers","Ojakgyo Hyungjedeul,The Brothers of the Bridge of Crows and Magpies,The Brothers of the Ojakgyo,Ojakkyo Brothers,Golden Pond,Orchard Brothers,Ojakgyo Family","Aug  6, 2011 - Feb 19, 2012","Saturday,Sunday","South Korea","62","58","Drama,Romance,Family,Comedy","오작교 형제들","KBS2","560","932","8.3","2936","Brothers,Older Woman/Younger Man,Police Officer,Contract Relationship,Single Parent,Sibling,Age Gap,Huge Family","6981"
"Shinya Shokudo - Tokyo Stories",",Shinya Shokudo ~ Tokyo Stories,Midnight Diner","Oct 21, 2016","","Japan","23","10","Drama,Comedy,Food,Life","深夜食堂 -Tokyo Stories-","Netflix","3181","934","8.4","473","Adapted From A Manga","1054"
"Roosevelt Game","","Apr 27, 2014 - Jun 22, 2014","Sunday","Japan","54","9","Business,Sports","ルーズヴェルト・ゲーム","TBS","4939","936","0","0","Adapted From A Novel,Ikeido Jun","532"
